Name,Year_Established,Regional_Council,Latitude,Longitude,West_Bank_Barrier,2015_Population,2010_Population,2005_Population,2000_Population
Kedumim,1977,Shomron,32.2156,35.1583,West,4338,3877,3087,2660
Kfar Adumim,1979,Mateh Binyamin,31.824,35.335,West,4145,3286,2127,1690
Kfar Etzion,1967,Gush Etzion,31.649,35.1154,West,1071,804,422,427
Kfar Tapuach,1978,Shomron,32.1181,35.25,East,970,1025,648,347
Kiryat Arba,1972,Har Hebron,31.5283,35.1186,East,7108,7248,6819,6380
Kiryat Netafim,1983,Shomron,32.116,35.1135,West,865,690,438,249
Kokhav HaShahar,1977,Mateh Binyamin,31.96,35.348,East (Jordan Valley),1945,1557,1449,1150
Kokhav Ya'akov (Abir Ya'akov),1985,Mateh Binyamin,31.8802,35.2457,East,7313,6006,4919,1640
Lapid,1996,Hevel Modi'in,31.9165,35.0331,West,2551,2497,2247,
Ma'ale Adumim,1975,Gush Etzion[13],31.775,35.2981,West,37525,35673,30162,24900
Ma'ale Amos,1981,Gush Etzion,31.5965,35.2296,East,384,255,340,336
Ma'ale Efraim,1970,Bik'at HaYarden[12],32.0704,35.4036,East (Jordan Valley),1206,1250,1423,1480
Ma'ale Hever (Pnei Hever),1982,Har Hebron,31.4861,35.1661,East,432,380,375,304
Ma'ale Levona,1983,Mateh Binyamin,32.0544,35.2408,East,766,686,545,445
Ma'ale Mikhmas,1981,Mateh Binyamin,31.8789,35.3064,East (Jordan Valley),1351,1104,1126,826
Ma'ale Shomron,1980,Shomron,32.1647,35.0711,West,1015,837,574,527
Ma'alot Dafna,1972,,31.7962,35.2257,West (East Jerusalem),,,,3645
Ma'on,1981,Har Hebron,31.4133,35.1639,East,502,357,347,283
Maskiot,1986,Bik'at HaYarden,32.3174,35.5022,East (Jordan Valley),206,,,507
Massu'a,1970,Bik'at HaYarden,32.1133,35.4925,East (Jordan Valley),148,141,136,148
Matityahu,1981,Mateh Binyamin,31.9297,35.0344,West,698,465,1353,1380
Mehola,1968,Bik'at HaYarden,32.3659,35.5145,East (Jordan Valley),471,400,362,306
Mekhora,1973,Bik'at HaYarden,32.164,35.424,East (Jordan Valley),141,131,120,113
Menora,1998,Mateh Binyamin,31.9193,35.0382,East (Jordan Valley),2700,2509,1804,768
Mevo Dotan,1978,Shomron,32.4201,35.1695,East,364,280,303,310
Mevo Horon,1970,Mateh Binyamin,31.8492,35.0359,West,2517,1771,950,497
Migdal Oz,1977,Gush Etzion,31.6407,35.1439,West,439,412,334,289
Migdalim,1983,Shomron,32.0902,35.3423,East,269,142,150,154
Mitzpe Shalem,1971,Megilot,31.5684,35.4009,East (Jordan Valley),173,166,180,210
Mitzpe Yericho,1978,Mateh Binyamin,31.816,35.3941,East (Jordan Valley),2307,1851,1536,1210
Modi'in Illit,1996,Mateh Binyamin,31.9306,35.0417,West,64179,48639,30484,16400
Na'ale,1988,Mateh Binyamin,31.9625,35.0641,East,1573,1035,623,137
Na'omi,1982,Bik'at HaYarden,31.9063,35.4672,East (Jordan Valley),118,100,130,121
Nahliel,1984,Mateh Binyamin,31.974,35.1401,East,665,412,264,244
Nativ HaGdud,1976,Bik'at HaYarden,31.9882,35.4448,East (Jordan Valley),181,186,127,139
Negohot,1999,Har Hebron,31.4928,34.9833,East,288,245,150,409
Neve Daniel,1982,Gush Etzion,31.6769,35.1436,West,2275,1824,1467,933
Neve Yaakov,1972,,31.8411,35.2425,West (East Jerusalem),,,,20288
Nili,1981,Mateh Binyamin,31.9637,35.0475,East,1438,846,852,721
Niran,1977,Bik'at HaYarden,31.9669,35.4543,East (Jordan Valley),85,52,49,56
Nofim,1987,Shomron,32.1536,35.1017,West,638,421,400,385
Nokdim,1982,Gush Etzion,31.6439,35.2447,East,1937,1413,729,611
Ofarim,1989,Mateh Binyamin,32.0355,35.0538,West,,,,686
Ofra,1975,Mateh Binyamin,31.9556,35.2603,East,3189,3296,2384,1880
Oranit,1985,Shomron,32.1293,34.9952,West,8495,6205,5585,5070
Otniel,1983,Har Hebron,31.4397,35.0289,East,909,787,747,560
Peduel,1984,Shomron,32.0624,35.0519,West,1622,1185,1113,885
Peza'el,1975,Bik'at HaYarden,32.0442,35.4422,East (Jordan Valley),250,214,215,224
Pisgat Ze'ev,1985,,31.825,35.2417,West (East Jerusalem),,,,36649
Psagot,1981,Mateh Binyamin,31.8993,35.2239,East,1902,1658,1464,1090
Ramat Eshkol,1970,,31.8026,35.2235,West (East Jerusalem),,,,2917
Ramat Shlomo,1995,,31.8105,35.218,West (East Jerusalem),,,,11348
Ramot,1974,,31.8119,35.2,West (East Jerusalem),,,,37934
Rechelim,2013,Shomron,32.1029,35.2572,,583,,,
Rehan,1977,Shomron,32.4689,35.135,West,213,177,150,120
Revava,1991,Shomron,32.1188,35.1287,West,1974,1262,827,504
Rimonim,1977,Mateh Binyamin,31.9342,35.34,East (Jordan Valley),598,632,561,499
Ro'i,1976,Bik'at HaYarden,32.2472,35.489,East (Jordan Valley),162,157,117,141
Rosh Tzurim,1969,Gush Etzion,31.6671,35.1257,West,915,606,364,265
Rotem,1983,Bik'at HaYarden,32.3367,35.5183,East (Jordan Valley),168,,,
Sa-Nur,1982,Shomron,32.3371,35.2019,East,,,,52
Sal'it,1977,Shomron,32.2426,35.0519,West,693,525,447,410
Sanhedria Murhevet,1970,,31.802,35.218,West (East Jerusalem),,,,5018
Sansana,1997,Har Hebron,31.3619,34.9029,,334,,,
Sha'are Tikva,1983,Shomron,32.1229,35.0269,West,5638,4727,3709,3380
Shadmot Mehola,1979,Bik'at HaYarden,32.3483,35.5333,East (Jordan Valley),553,494,516,399
Shaked,1981,Shomron,32.4732,35.169,West,851,661,527,497
Shani (Livne),1989,Har Hebron,31.3558,35.0701,West,471,441,424,483
Shavei Shomron,1977,Shomron,32.2641,35.1849,East,879,688,606,573
Shilo,1979,Mateh Binyamin,32.0539,35.2986,East,3379,2172,1945,1580
Shim'a,1985,Har Hebron,31.3878,35.0128,East,538,316,349,296
Susiya,1983,Har Hebron,31.3919,35.1123,East,1041,923,700,482
Talmon,1989,Mateh Binyamin,31.9383,35.135,East,3704,2797,1964,1250
Tekoa,1977,Gush Etzion,31.653,35.229,East,3495,1808,1243,980
Telem,1982,Har Hebron,31.5642,35.0311,East,336,241,152,97
Tene Omarim,1983,Har Hebron,31.3753,34.9569,East,756,608,532,561
Tomer,1978,Bik'at HaYarden,32.0187,35.4389,East (Jordan Valley),247,234,281,308
Vered Jericho,1980,Megilot,31.8264,35.4317,East (Jordan Valley),239,196,156,164
Yafit,1980,Bik'at HaYarden,32.0615,35.4741,East (Jordan Valley),149,107,99,125
Yakir,1981,Shomron,32.1503,35.1154,West,1863,1285,984,822
Yitav,1970,Bik'at HaYarden,31.9472,35.4231,East (Jordan Valley),279,139,156,114
Yitzhar,1983,Shomron,32.1681,35.2363,East,1380,982,590,329
Zofin,1989,Shomron,32.1981,35.0092,West,1976,1251,1043,857
